Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,eigencentrality,modularity_class,componentnumber,strongcompnum,clustering
XD-16050410007,XD-16050410007,,0,1,1,0,1,1,1,1,1,0,0,0.000569,0.000364,0,0,0,1,0
"黄天柱 17030340343",黄天柱 17030340343,,2,0,2,2,0,2,0,0,0,0,0.011351,0,0.000769,0.03792,0,0,0,0
"李萍mooc",李萍mooc,,52,137,189,86,342,428,5,0.392233,0.487431,38003.590134,0.019324,0.225765,0.015283,0.425831,0,0,417,0.003205
"蒲江三哥",蒲江三哥,,6,5,11,130,46,176,5,0.408907,0.445407,2298.072693,0.072644,0.005244,0.001143,0.185134,9,0,417,0.380952
"赵小艳",赵小艳,,46,182,228,55,331,386,5,0.574953,0.643619,49207.320692,0.005382,0.259579,0.012321,0.320317,2,0,417,0.010523
"路人乙mooc54",路人乙mooc54,,2,0,2,2,0,2,0,0,0,0,0.024341,0,0.000517,0.066513,0,0,368,0.5
hg201710104119安全工程,hg201710104119安全工程,,2,0,2,3,0,3,0,0,0,0,0.013065,0,0.000499,0.030283,2,0,367,0.5
SWPU201731764102,SWPU201731764102,,0,4,4,0,5,5,6,0.366587,0.384262,0,0,0.00093,0.000364,0,2,0,421,0.083333
"嘤崔斯汀hia",嘤崔斯汀hia,,3,1,4,4,1,5,0,0,0,0,0.060042,0,0.000507,0.124404,9,0,233,0.5
Sichselbst,Sichselbst,,1,0,1,2,0,2,0,0,0,0,0.000047,0,0.000442,0.000845,2,0,420,0
"微凉mooc222",微凉mooc222,,7,3,10,44,18,62,5,0.407806,0.443207,1398.712693,0.072518,0.002276,0.000948,0.188095,9,0,417,0.452381
"臭皮囊mooc2",臭皮囊mooc2,,1,0,1,1,0,1,0,0,0,0,0.013018,0,0.000422,0.029438,2,0,366,0
"破茧成蝶mooc54",破茧成蝶mooc54,,1,0,1,1,0,1,0,0,0,0,0.013018,0,0.000422,0.029438,2,0,365,0
"唐靖mooc",唐靖mooc,,2,2,4,2,3,5,1,1,1,1,0.000047,0,0.000442,0.002156,2,0,419,0.333333
"朴实的求知者",朴实的求知者,,1,0,1,1,0,1,0,0,0,0,0.013018,0,0.000422,0.029438,2,0,364,0
"微风moocFr",微风moocFr,,6,8,14,126,76,202,5,0.485188,0.494829,3559.045239,0.071725,0.009321,0.00145,0.173105,9,0,417,0.305556
