Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,eigencentrality,clustering
CPU16402815,CPU16402815,,2,1,3,2,1,3,0,0,0,0,0.212231,0,2,0.010209,0,0,1,0.5
mooc53706043072695356,mooc53706043072695356,,0,2,2,0,3,3,1,1,1,0,0,0.049641,0,0.00886,0,3,0,0
"黄宏飞",黄宏飞,,1,0,1,1,0,1,0,0,0,0,0.01056,0,0,0.012627,0,2,0.005531,0
shifei521,shifei521,,0,2,2,0,3,3,1,1,1,0,0,0,1,0.00886,1,6,0,0
16403911赵高峰,16403911赵高峰,,1,0,1,1,0,1,0,0,0,0,0,0,1,0.012627,1,5,0.005531,0
cpu-jiangcheng,cpu-jiangcheng,,3,22,25,3,25,28,2,0.923077,0.958333,69,0,0.997647,2,0.034898,0,25,0.778169,0
"中国科学技术大学-SA20179051-王文静",中国科学技术大学-SA20179051-王文静,,1,1,2,2,1,3,3,0.489796,0.506944,0,0.212231,0,2,0.010209,0,25,0.44925,0
"吉良吉影mooc4",吉良吉影mooc4,,1,0,1,1,0,1,0,0,0,0,0.212231,0,2,0.010209,0,24,0.44925,0
cpu16402902,cpu16402902,,1,1,2,2,2,4,0,0,0,0,0,0,3,0.00886,2,26,0.062959,0
"令鼠",令鼠,,1,0,1,1,0,1,0,0,0,0,0.212231,0,2,0.010209,0,23,0.44925,0
Swust5120163319,Swust5120163319,,1,0,1,1,0,1,0,0,0,0,0.212231,0,2,0.010209,0,22,0.44925,0
JanetnamesYu,JanetnamesYu,,1,0,1,1,0,1,0,0,0,0,0.212231,0,2,0.010209,0,21,0.44925,0
"香豆素生物碱",香豆素生物碱,,1,0,1,1,0,1,0,0,0,0,0.212231,0,2,0.010209,0,20,0.44925,0
cpu-16402830李启航,cpu-16402830李启航,,1,0,1,1,0,1,0,0,0,0,0.212231,0,2,0.010209,0,19,0.44925,0
mooc72307135627269300,mooc72307135627269300,,1,0,1,1,0,1,0,0,0,0,0.212231,0,2,0.010209,0,18,0.44925,0
ydydy,ydydy,,1,0,1,1,0,1,0,0,0,0,0.212231,0,2,0.010209,0,17,0.44925,0
