Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,clustering,eigencentrality,componentnumber,strongcompnum
"张峰的天狗",张峰的天狗,,0,1,1,0,2,2,1,1,1,0,0,0.001803,0,0,0,1
samuelsg,samuelsg,,2,0,2,3,0,3,0,0,0,0,0,0.004903,0,0.006977,0,0
"透射电子显微镜mooc",透射电子显微镜mooc,,0,1,1,0,1,1,1,1,1,0,0,0.001803,0,0,0,2
"东方之舟",东方之舟,,20,111,131,24,201,225,2,0.916667,0.954545,2725.75,3,0.027497,0.010503,0.602587,1,107
"李俊热爱学习",李俊热爱学习,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,106
"西西mooc10",西西mooc10,,0,2,2,0,3,3,3,0.571429,0.708333,0,1,0.001803,0,0,1,109
"谌欣来",谌欣来,,4,2,6,8,3,11,2,0.666667,0.75,26,1,0.004395,0.333333,0.217768,1,97
"梦回丽卡",梦回丽卡,,1,1,2,2,2,4,0,0,0,0,2,0.001803,0,0.006576,2,110
"孜孜不倦mooc15",孜孜不倦mooc15,,1,0,1,1,0,1,0,0,0,0,1,0.002578,0,0.003488,1,108
ljlei1980,ljlei1980,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,105
"林龙杰mooc22",林龙杰mooc22,,5,8,13,6,17,23,2,0.9,0.944444,71.883929,3,0.009755,0.054545,0.271569,1,50
mooc1535994962389,mooc1535994962389,,1,1,2,1,4,5,1,1,1,0.8125,13,0.002024,0,0.146426,1,104
"白童童",白童童,,1,1,2,2,2,4,0,0,0,0,4,0.001803,0,0.006576,3,111
xktesla,xktesla,,0,2,2,0,4,4,1,1,1,0,5,0.001803,0.5,0,1,112
16班杨阁文,16班杨阁文,,3,2,5,8,7,15,1,1,1,2.375,5,0.002799,0.333333,0.197095,1,78
"勿与俗同.",勿与俗同.,,0,1,1,0,1,1,1,1,1,0,6,0.001803,0,0,4,114
"杨洲洲",杨洲洲,,1,0,1,1,0,1,0,0,0,0,6,0.003353,0,0.003488,4,113
whoareyoumooc43,whoareyoumooc43,,5,2,7,12,7,19,3,0.5,0.537037,17,3,0.005035,0.3,0.284384,1,50
xd-zlx14-齐淼20009102042,xd-zlx14-齐淼20009102042,,0,1,1,0,1,1,4,0.357143,0.408333,0,3,0.001803,0,0,1,115
"泠慈",泠慈,,0,4,4,0,5,5,4,0.428571,0.5625,0,13,0.001803,0.083333,0,1,116
"青野乾朔",青野乾朔,,3,1,4,3,2,5,1,1,1,0.8125,13,0.002799,0.166667,0.153402,1,42
"陈冬升",陈冬升,,1,4,5,1,6,7,4,0.333333,0.350949,2,3,0.002476,0,0.006576,1,117
mooc1533355248027,mooc1533355248027,,1,3,4,1,4,5,3,0.486166,0.498645,119,3,0.002338,0.166667,0.006576,1,117
"谭俊娇",谭俊娇,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,103
"谢媛-MOOC",谢媛-MOOC,,1,5,6,1,8,9,4,0.339888,0.36157,3.633929,3,0.002024,0.166667,0.146426,1,107
"念火",念火,,1,3,4,2,13,15,2,0.8,0.875,4,13,0.003353,0.166667,0.003488,1,119
"上无止境mooc",上无止境mooc,,1,3,4,1,17,18,1,1,1,2,13,0.002777,0.166667,0.005708,1,118
"临床-余一凡-2019级",临床-余一凡-2019级,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,102
RAINBOW28,RAINBOW28,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,101
"柠檬你好酸",柠檬你好酸,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,100
mooc251mgwgd,mooc251mgwgd,,2,1,3,10,2,12,3,0.480159,0.488981,119,3,0.002411,0,0.149914,1,107
HZAU_Mcy,HZAU_Mcy,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,99
"管相娥",管相娥,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,98
XCU20201010,XCU20201010,,1,2,3,1,4,5,1,1,1,2,1,0.00372,0,0.052796,1,97
"瑞士糖mooc7",瑞士糖mooc7,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,96
JenLgd,JenLgd,,1,1,2,2,1,3,3,0.480159,0.488981,0,3,0.002024,0,0.146426,1,107
mooc73090387975491847,mooc73090387975491847,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,95
mooc46314553074781154,mooc46314553074781154,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,94
"伯齐爸爸",伯齐爸爸,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,93
"舞阳阑",舞阳阑,,0,2,2,0,4,4,1,1,1,0,3,0.001803,0,0,1,120
20181401249代振南,20181401249代振南,,2,0,2,6,0,6,0,0,0,0,3,0.002799,0,0.149914,1,92
Liu能学,Liu能学,,4,3,7,7,4,11,2,0.666667,0.75,32,3,0.003403,0.1,0.230886,1,63
Nanika,Nanika,,0,4,4,0,9,9,2,0.7,0.785714,0,13,0.001803,0,0,1,121
Famemooc12,Famemooc12,,1,1,2,2,2,4,0,0,0,0,7,0.001803,0,0.006576,5,122
"一坨蟹子寿司",一坨蟹子寿司,,1,1,2,2,2,4,3,0.480159,0.488981,0,3,0.002024,0,0.146426,1,107
"哔哩老王",哔哩老王,,0,4,4,0,7,7,3,0.666667,0.805556,0,13,0.001803,0.083333,0,1,123
"山河依旧在",山河依旧在,,2,2,4,5,6,11,2,0.75,0.833333,14.8125,13,0.002411,0.166667,0.149914,1,91
ycy66ds,ycy66ds,,2,2,4,2,3,5,1,1,1,3.1875,5,0.002282,0.166667,0.149914,1,90
mooc1535807225995,mooc1535807225995,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,89
"落雁mooc3",落雁mooc3,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,88
"王迪-4905",王迪-4905,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,87
"既见君子云狐不喜",既见君子云狐不喜,,3,0,3,5,0,5,0,0,0,0,3,0.002757,0.166667,0.184552,1,86
"俄众博",俄众博,,1,1,2,3,1,4,1,1,1,0,3,0.002024,0.5,0.146426,1,85
"学霸不是我mooc",学霸不是我mooc,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,84
"诗音mooc1",诗音mooc1,,2,1,3,3,1,4,0,0,0,0,3,0.002024,0.5,0.19052,1,83
"包子理",包子理,,1,0,1,1,0,1,0,0,0,0,3,0.002024,0,0.146426,1,82
mooc1524625470709,mooc1524625470709,,1,2,3,2,8,10,1,1,1,3.1875,13,0.002024,0,0.146426,1,81
mooc65234155171089751,mooc65234155171089751,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,80
17级生科二班张海卓,17级生科二班张海卓,,1,0,1,2,0,2,0,0,0,0,3,0.002024,0,0.146426,1,79
mcspurs,mcspurs,,3,2,5,5,7,12,3,0.484,0.49449,233.8125,13,0.003145,0.166667,0.187639,1,107
mooc69290120301068825,mooc69290120301068825,,1,2,3,1,2,3,4,0.327957,0.334699,0,13,0.001803,0.5,0.006576,1,124
