Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,clustering,eigencentrality
Nora1216,Nora1216,,1,1,2,1,1,2,0,0,0,0,0,0,0.015637,0,0,0,0,0.25
"鞠晴江",鞠晴江,,1,2,3,1,2,3,1,1,1,1,0,0,0.047668,1,2,4,0,0.25
"山东王海",山东王海,,1,1,2,1,1,2,2,0.666667,0.75,0,0,0,0.03757,1,2,4,0,0.25
m18081183258163com,m18081183258163com,,0,7,7,0,8,8,1,1,1,0,0,1,0.015637,2,10,1,0,0
"小气鬼mooc12",小气鬼mooc12,,1,0,1,1,0,1,0,0,0,0,0.377964,0,0.017664,2,9,1,0,0.009709
SSPhenix,SSPhenix,,1,0,1,1,0,1,0,0,0,0,0.377964,0,0.017664,2,8,1,0,0.009709
"温暖66",温暖66,,1,0,1,1,0,1,0,0,0,0,0.377964,0,0.017664,2,7,1,0,0.009709
"慕夏刻骨铭心的回眸",慕夏刻骨铭心的回眸,,1,0,1,2,0,2,0,0,0,0,0.377964,0,0.017664,2,6,1,0,0.009709
"学无止境学以致用",学无止境学以致用,,2,1,3,2,1,3,0,0,0,0,0,0,0.029831,3,11,2,0.5,0.5
m13311544926,m13311544926,,0,1,1,0,2,2,1,1,1,0,0,0,0.015637,4,13,3,0,0
"我叫陈大亮",我叫陈大亮,,1,0,1,2,0,2,0,0,0,0,0,0,0.029831,4,12,3,0,0.009709
"冰淇淋mooc89",冰淇淋mooc89,,1,0,1,1,0,1,0,0,0,0,0.377964,0,0.017664,2,5,1,0,0.009709
"那个966",那个966,,1,0,1,1,0,1,0,0,0,0,0.377964,0,0.017664,2,4,1,0,0.009709
"北冥有鱼其名为鲲也",北冥有鱼其名为鲲也,,1,0,1,1,0,1,0,0,0,0,0,0,0.03757,1,1,4,0,0.25
mooc87125124060301317,mooc87125124060301317,,1,0,1,1,0,1,0,0,0,0,0.377964,0,0.017664,2,3,1,0,0.009709
mooc52920153754588557,mooc52920153754588557,,0,1,1,0,1,1,1,1,1,0,0,0,0.015637,5,15,5,0,0
"方无上",方无上,,1,0,1,1,0,1,0,0,0,0,0,0,0.029831,5,14,5,0,0.009709
"许多牛",许多牛,,0,1,1,0,2,2,1,1,1,0,0,0,0.015637,6,17,6,0,0
"盛世女流氓",盛世女流氓,,2,0,2,4,0,4,0,0,0,0,0,0,0.044025,6,16,6,0,0.019417
Jes还会搭脚手架,Jes还会搭脚手架,,0,1,1,0,2,2,1,1,1,0,0,0,0.015637,6,18,6,0,0
"没有胡子的猫",没有胡子的猫,,0,1,1,0,1,1,1,1,1,0,0,0,0.015637,7,20,7,0,0
"小雅yilia",小雅yilia,,1,0,1,1,0,1,0,0,0,0,0,0,0.029831,7,19,7,0,0.009709
"常鼻子的蘑菇小象keepclam",常鼻子的蘑菇小象keepclam,,0,1,1,0,4,4,1,1,1,0,0,0,0.015637,8,22,8,0,0
"西北小辣椒",西北小辣椒,,4,1,5,10,2,12,0,0,0,0,0,0,0.058219,8,21,8,0.25,1
mooc63777884756640140,mooc63777884756640140,,0,1,1,0,2,2,1,1,1,0,0,0,0.015637,8,23,8,0,0
"蒋mooc58",蒋mooc58,,0,1,1,0,2,2,1,1,1,0,0,0,0.015637,8,24,8,0,0
"李峰mooc4",李峰mooc4,,0,1,1,0,1,1,1,1,1,0,0,0,0.015637,3,25,2,0,0
