Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,clustering,eigencentrality,modularity_class
MOOC松子,MOOC松子,,3,1,4,18,9,27,0,0,0,0,0.363523,0,0.099395,0,0,0.333333,1,0
"鞠晴江",鞠晴江,,0,9,9,0,16,16,1,1,1,0,0,0.985599,0.050496,0,9,0.013889,0,0
mooc3032965883527236,mooc3032965883527236,,1,0,1,1,0,1,0,0,0,0,0.324192,0,0.055386,0,8,0,0.009804,0
"棒棒的耶",棒棒的耶,,1,0,1,1,0,1,0,0,0,0,0.324192,0,0.055386,0,7,0,0.009804,0
Uniquemooc776,Uniquemooc776,,0,1,1,0,2,2,1,1,1,0,0,0.119573,0.050496,0,10,0,0,0
mooc1536501167371,mooc1536501167371,,1,0,1,1,0,1,0,0,0,0,0.324192,0,0.055386,0,6,0,0.009804,0
12020021066,12020021066,,1,0,1,1,0,1,0,0,0,0,0.324192,0,0.055386,0,5,0,0.009804,0
mooc1488178289550,mooc1488178289550,,1,1,2,1,2,3,1,1,1,0,0.324192,0.119573,0.055386,0,4,0.5,0.009804,1
"江南才子mooc6",江南才子mooc6,,1,0,1,1,0,1,0,0,0,0,0.324192,0,0.055386,0,3,0,0.009804,0
mooc4933882328368656,mooc4933882328368656,,2,0,2,3,0,3,0,0,0,0,0.363523,0,0.10557,0,2,0.5,0.055856,1
"马济美",马济美,,0,1,1,0,1,1,1,1,1,0,0,0,0.050496,1,12,0,0,2
Dut公管1701张萌,Dut公管1701张萌,,1,0,1,1,0,1,0,0,0,0,0,0,0.094505,1,11,0,0.009804,2
"体验服玩家",体验服玩家,,1,0,1,2,0,2,0,0,0,0,0.324192,0,0.055386,0,1,0,0.009804,0
