Id,Label,timeset,weighted indegree,weighted outdegree,weighted degree,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
gyjiayou869158684,gyjiayou869158684,,0,2,2,0,1,1,1,1,1,0,0,0,0,0.026861,0,1,0,0
xmooc543,xmooc543,,2,0,2,1,0,1,0,0,0,0,0,0,0,0.049705,0,0,0,0.005
"杨湘波老师",杨湘波老师,,4,39,43,4,21,25,1,1,1,78,0.02768,0.992708,1,0.116316,1,19,0.004762,1
"中共南京市江宁区委员会党校崔兴好",中共南京市江宁区委员会党校崔兴好,,2,4,6,1,3,4,2,0.538462,0.571429,0,0.215246,0.109655,2,0.031569,1,19,0.333333,0.499967
"豆子mooc248",豆子mooc248,,1,0,1,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,18,0,0.499967
"下个雨季mooc2",下个雨季mooc2,,1,0,1,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,17,0,0.499967
FreemanTheMaverick,FreemanTheMaverick,,2,1,3,1,1,2,2,0.512195,0.52381,0,0.215246,0.006002,1,0.031569,1,19,0,0.499967
Jcharon,Jcharon,,3,1,4,1,1,2,2,0.512195,0.52381,0,0.215246,0.006002,1,0.031569,1,19,0,0.499967
"小樱呀k1264244956967809126",小樱呀k1264244956967809126,,3,0,3,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,16,0,0.499967
cancan1234,cancan1234,,4,0,4,2,0,2,0,0,0,0,0.239022,0,2,0.040515,1,15,1,0.749967
"冬mooc216",冬mooc216,,3,0,3,2,0,2,0,0,0,0,0.239022,0,1,0.040515,1,14,1,0.749967
"应物1701-付蓉",应物1701-付蓉,,2,1,3,1,1,2,2,0.512195,0.52381,0,0.215246,0.006002,1,0.031569,1,19,0,0.499967
"赵媛媛2017141451282",赵媛媛2017141451282,,1,0,1,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,13,0,0.499967
mooc1533949207772,mooc1533949207772,,1,0,1,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,12,0,0.499967
"光信1701曹书涛",光信1701曹书涛,,1,0,1,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,11,0,0.499967
mooc1505906083178,mooc1505906083178,,1,0,1,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,10,0,0.499967
mooc82153390648112794,mooc82153390648112794,,1,0,1,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,9,0,0.499967
"胡说世界",胡说世界,,1,0,1,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,8,0,0.499967
"热孜爷",热孜爷,,2,0,2,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,7,0,0.499967
"无盐相兑",无盐相兑,,3,0,3,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,6,0,0.499967
"王纪平mooc",王纪平mooc,,1,0,1,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,5,0,0.499967
HAPPY芯片,HAPPY芯片,,4,0,4,2,0,2,0,0,0,0,0.225865,0,1,0.054414,1,4,0,0.504967
"风痴110",风痴110,,0,1,1,0,1,1,1,1,1,0,0,0.048974,1,0.026861,1,20,0,0
"冶金1702班20172471谌君儒",冶金1702班20172471谌君儒,,4,0,4,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,3,0,0.499967
"昵称全被占用用",昵称全被占用用,,2,0,2,1,0,1,0,0,0,0,0.215246,0,1,0.031569,1,2,0,0.499967
"唐小鹏",唐小鹏,,0,1,1,0,1,1,1,1,1,0,0,0,3,0.026861,2,22,0,0
mooc1510717269511,mooc1510717269511,,1,0,1,1,0,1,0,0,0,0,0,0,3,0.049705,2,21,0,0.005
