Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,clustering,eigencentrality
"一世尘澜",一世尘澜,,0,8,8,0,24,24,2,0.785714,0.863636,0,0,0.305334,0.010108,0,7,2,0.142857,0
mooc90804636962560870,mooc90804636962560870,,11,2,13,30,9,39,4,0.411765,0.535714,31,0.339649,0.138281,0.063775,0,5,2,0.166667,0.51895
"小仙女的小迷",小仙女的小迷,,3,4,7,5,11,16,3,0.583333,0.738095,27.5,0.088273,0.208749,0.023561,0,5,2,0.333333,0.161827
rancic,rancic,,6,7,13,11,16,27,4,0.42,0.563492,133,0.121793,0.225787,0.039237,0,14,2,0.118182,0.114093
mooc68879071705939108,mooc68879071705939108,,1,1,2,1,1,2,5,0.3,0.359524,0,0.033006,0.017804,0.014875,0,14,2,0,0.071648
ECJTU16信息与计算科学张扬,ECJTU16信息与计算科学张扬,,1,1,2,1,1,2,5,0.321429,0.401852,11,0.026055,0,0.013267,0,9,2,0,0.039976
ykt1493081537733,ykt1493081537733,,1,2,3,1,4,5,4,0.421053,0.53125,8,0,0.138281,0.021385,0,8,2,0.166667,0.023672
mooc91875047242760430,mooc91875047242760430,,1,1,2,1,1,2,8,0.230769,0.302551,56,0.033006,0,0.014875,0,14,1,0,0.071648
"张捧",张捧,,1,3,4,1,4,5,7,0.283784,0.402834,67,0,0.000454,0.022744,0,14,1,0,0.039976
ykt1500782775511,ykt1500782775511,,2,4,6,2,9,11,6,0.291667,0.416667,64.666667,0.002971,0.140148,0.02085,0,14,1,0.033333,0.028599
mooc90804266019315531,mooc90804266019315531,,0,2,2,0,3,3,7,0.236559,0.324351,0,0,0.019871,0.010108,0,15,1,0.5,0
mooc369693,mooc369693,,0,10,10,0,35,35,4,0.666667,0.827381,0,0,0.332334,0.010108,0,17,2,0.066667,0
"你不要咬我",你不要咬我,,1,0,1,2,0,2,0,0,0,0,0.048581,0,0.010967,0,16,2,0,0.004926
"刘许豪",刘许豪,,1,2,3,1,4,5,5,0.318182,0.397619,59,0.020487,0.067454,0.014537,0,14,2,0.166667,0.023452
"蕉太狼的羊朋友",蕉太狼的羊朋友,,3,0,3,6,0,6,0,0,0,0,0.073479,0,0.01969,0,13,1,0,0.033304
mooc58311049251535561,mooc58311049251535561,,0,2,2,0,7,7,1,1,1,0,0,0.030178,0.010108,0,18,1,0,0
mooc29097006338745463,mooc29097006338745463,,1,2,3,2,13,15,1,1,1,11.666667,0.000066,0.142074,0.016556,0,12,2,0,0.023672
mooc57512464570816853,mooc57512464570816853,,1,1,2,1,2,3,1,1,1,0.666667,0.000066,0.106975,0.016556,0,11,1,0,0.023672
mooc57512805422270283,mooc57512805422270283,,3,5,8,5,13,18,2,0.777778,0.857143,73.5,0.097312,0.221128,0.033464,0,5,0,0.166667,0.24356
mooc58248245922517206,mooc58248245922517206,,0,5,5,0,10,10,3,0.642857,0.759259,0,0,0.213204,0.010108,0,19,1,0.05,0
"堂吉诃德mooc38",堂吉诃德mooc38,,2,0,2,4,0,4,0,0,0,0,0.093215,0,0.01204,0,6,2,0,0.009853
mooc26076932916204708,mooc26076932916204708,,6,0,6,16,0,16,0,0,0,0,0.132963,0,0.031962,0,4,1,0.033333,0.146384
mooc81924452686340122,mooc81924452686340122,,0,6,6,0,11,11,5,0.5,0.728333,0,0,0.285049,0.010108,0,20,0,0.033333,0
mooc57512609851049958,mooc57512609851049958,,11,0,11,23,0,23,0,0,0,0,0.345512,0,0.044829,0,1,0,0.036364,0.169695
XDZY-03-20171213762-岳英杰,XDZY-03-20171213762-岳英杰,,0,2,2,0,10,10,5,0.347826,0.497917,0,0,0.127793,0.010108,0,21,2,0.5,0
"丁振凡",丁振凡,,28,0,28,141,0,141,0,0,0,0,0.731801,0,0.185021,0,0,2,0.046296,1
"小董小",小董小,,3,3,6,5,10,15,1,1,1,3,0.098743,0.192581,0.016334,0,3,2,0.2,0.014779
"屈梦飞",屈梦飞,,0,3,3,0,8,8,4,0.470588,0.614583,0,0,0.188788,0.010108,0,22,2,0.166667,0
mooc1508728544877,mooc1508728544877,,7,0,7,18,0,18,0,0,0,0,0.240107,0,0.030857,0,2,2,0.047619,0.06448
mooc84564896288615550,mooc84564896288615550,,0,3,3,0,12,12,1,1,1,0,0,0.192581,0.010108,0,23,2,0,0
mooc90804652643893180,mooc90804652643893180,,0,3,3,0,10,10,1,1,1,0,0,0.192581,0.010108,0,24,2,0,0
"小微白",小微白,,0,2,2,0,2,2,2,0.625,0.7,0,0,0.037816,0.010108,0,25,0,0,0
fffff2019,fffff2019,,5,0,5,10,0,10,0,0,0,0,0.159949,0,0.023177,0,10,0,0,0.091354
mooc92397604437013457,mooc92397604437013457,,4,3,7,7,8,15,4,0.4375,0.619048,7.5,0.14241,0.169529,0.02134,0,5,2,0.266667,0.090731
"江期森",江期森,,1,4,5,1,7,8,5,0.328125,0.450794,20,0.033006,0.178238,0.014875,0,14,2,0.25,0.071648
mooc81277054351193806,mooc81277054351193806,,0,4,4,0,8,8,5,0.34375,0.455303,0,0,0.205735,0.010108,0,26,2,0.583333,0
"大大大大大大豚鼠",大大大大大大豚鼠,,0,3,3,0,8,8,5,0.314286,0.411364,0,0,0.174429,0.010108,0,27,2,0.5,0
mooc58310275899130659,mooc58310275899130659,,0,4,4,0,8,8,5,0.366667,0.481818,0,0,0.189511,0.010108,0,28,0,0.25,0
"寻梦山海",寻梦山海,,0,1,1,0,2,2,1,1,1,0,0,0.050507,0.010108,0,29,0,0,0
"浅色槿2c",浅色槿2c,,0,1,1,0,6,6,1,1,1,0,0,0.106975,0.010108,0,30,2,0,0
"黄泳豫",黄泳豫,,0,1,1,0,6,6,1,1,1,0,0,0.106975,0.010108,0,31,2,0,0
evildoerme,evildoerme,,0,1,1,0,8,8,1,1,1,0,0,0.106975,0.010108,0,32,2,0,0
"占红燕",占红燕,,0,2,2,0,10,10,4,0.421053,0.53125,0,0,0.138281,0.010108,0,33,2,0.5,0
JAVAISIT,JAVAISIT,,8,3,11,15,7,22,3,0.583333,0.690476,89.5,0.214159,0.17085,0.071065,0,5,2,0.180556,0.527584
mooc90805012347111944,mooc90805012347111944,,0,1,1,0,2,2,1,1,1,0,0,0.106975,0.010108,0,34,2,0,0
