,0
0,"田茂臣,""mooc15303680797756167"""
1,"田茂臣,""mooc15303680797756167"""
2,"田茂臣,""mooc15303680797756167"""
3,"mooc74900009174169996,""ykt1503922956125"""
4,"mooc74900009174169996,""ykt1503922956125"""
5,"gwo,""ykt1503922956125"""
6,"gwo,""ykt1503922956125"""
7,"间歇性积极患者,""eleven在大连"""
8,"间歇性积极患者,""eleven在大连"""
9,"间歇性积极患者,""shehur"""
10,"间歇性积极患者,""shehur"""
11,"间歇性积极患者,""林钟拾柒"""
12,"师保国,""shehur"""
13,"师保国,""shehur"""
14,"师保国,""ykt1503922956125"""
15,"师保国,""ykt1503922956125"""
16,"师保国,""shehur"""
17,"师保国,""shehur"""
18,"师保国,""小鹿慕溪水"""
19,"师保国,""小鹿慕溪水"""
20,"师保国,""mooc22837876167204178"""
21,"师保国,""mooc22837876167204178"""
22,"eleven在大连,""eleven在大连"""
23,"eleven在大连,""eleven在大连"""
24,"师保国,""栖迟mooc76"""
25,"师保国,""ab-Jelly"""
26,"师保国,""ab-Jelly"""
27,"师保国,""ab-Jelly"""
28,"师保国,""ab-Jelly"""
29,"ab-Jelly,""ab-Jelly"""
30,"师保国,""ab-Jelly"""
31,"师保国,""ab-Jelly"""
32,"ab-Jelly,""ab-Jelly"""
33,"ab-Jelly,""ab-Jelly"""
34,"ab-Jelly,""ab-Jelly"""
35,"师保国,""林钟拾柒"""
36,"师保国,""林钟拾柒"""
37,"李仕兴,""林钟拾柒"""
38,"师保国,""shehur"""
39,"师保国,""sovereign_x"""
40,"师保国,""sovereign_x"""
41,"小鹿慕溪水,""sovereign_x"""
42,"小鹿慕溪水,""sovereign_x"""
43,"师保国,""李小鹰"""
44,"师保国,""mooc16229291547944161"""
45,"师保国,""林钟拾柒"""
46,"师保国,""林钟拾柒"""
47,"pyrie,""丁娟123"""
48,"pyrie,""丁娟123"""
49,"娄阳阳,""丁娟123"""
50,"娄阳阳,""丁娟123"""
51,"李仕兴,""丁娟123"""
52,"李仕兴,""丁娟123"""
53,"小珞先生,""丁娟123"""
54,"小珞先生,""丁娟123"""
55,"耶嘿1229,""丁娟123"""
56,"耶嘿1229,""丁娟123"""
57,"eleven在大连,""丁娟123"""
58,"ykt1503922956125,""北雪mooc11584574420308"""
59,"ykt1503922956125,""北雪mooc11584574420308"""
60,"师保国,""栖迟mooc76"""
61,"ykt1503922956125,""栖迟mooc76"""
62,"ykt1503922956125,""栖迟mooc76"""
63,"快乐学清醒的活,""栖迟mooc76"""
64,"快乐学清醒的活,""栖迟mooc76"""
65,"芝士莓莓z,""栖迟mooc76"""
66,"师保国,""衡阳师范学院2周芝江23"""
67,"师保国,""衡阳师范学院2周芝江23"""
68,"ykt1503922956125,""衡阳师范学院2周芝江23"""
69,"ykt1503922956125,""衡阳师范学院2周芝江23"""
70,"师保国,""衡阳师范学院2周芝江23"""
71,"师保国,""心理181赵丽娟"""
72,"师保国,""mooc16873577783171029"""
73,"芝士莓莓z,""shehur"""
74,"芝士莓莓z,""shehur"""
75,"快乐学清醒的活,""栖迟mooc76"""
76,"快乐学清醒的活,""栖迟mooc76"""
