Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,clustering,eigencentrality,modularity_class
"张希金15565263030",张希金15565263030,,0,5,5,0,26,26,2,0.857143,0.916667,0,0,0.054446,0.000914,0,6,0.3,0,1
"世华华华",世华华华,,1,3,4,1,27,28,1,1,1,0,0.001692,0.053723,0.00107,0,5,0.25,0.001946,0
"外国语小学张静",外国语小学张静,,0,4,4,0,20,20,3,0.55,0.651515,0,0,0.053827,0.000914,0,13,0.25,0,1
"河师大附中_王小娟",河师大附中_王小娟,,2,8,10,4,20,24,2,0.833333,0.9,14,0.003345,0.055098,0.001303,0,12,0.211111,0.003893,1
SCNU20李磊,SCNU20李磊,,0,4,4,0,25,25,3,0.55,0.651515,0,0,0.053827,0.000914,0,14,0.25,0,1
"有钱哥哥的女人",有钱哥哥的女人,,0,4,4,0,7,7,4,0.526316,0.658333,0,0,0.036614,0.000914,0,19,0.333333,0,0
"辉县赵福平",辉县赵福平,,3,3,6,4,24,28,1,1,1,0.5,0.004535,0.053723,0.001333,0,18,0.266667,0.005839,0
"曹村中心小学段素霞",曹村中心小学段素霞,,1,6,7,1,39,40,3,0.727273,0.854167,5.5,0.001138,0.054198,0.001109,0,17,0.166667,0.001946,0
"卫辉市任翔宇",卫辉市任翔宇,,5,2,7,7,16,23,1,1,1,0.333333,0.007909,0.034703,0.001779,0,11,0.214286,0.011916,0
"军民路小学韩海霞",军民路小学韩海霞,,0,4,4,0,30,30,1,1,1,0,0,0.053969,0.000914,0,20,0.166667,0,0
"河南师大附中-董良",河南师大附中-董良,,1,6,7,2,28,30,2,0.777778,0.857143,0,0,0.037416,0.000914,0,21,0.333333,0.002375,1
"平淡是真mooc62031819469730316",平淡是真mooc62031819469730316,,16,5,21,35,39,74,1,1,1,37.333333,0.021595,0.053793,0.00427,0,4,0.160526,0.045321,1
mooc-ququ,mooc-ququ,,1,4,5,1,14,15,1,1,1,1,0.001671,0.053775,0.001109,0,23,0.25,0.001946,2
"林紫仪",林紫仪,,1,2,3,1,12,13,1,1,1,0,0.001671,0.034703,0.00115,0,22,0.333333,0.002334,0
mooc58555573502952440,mooc58555573502952440,,1,2,3,1,3,4,2,0.555556,0.6,0,0,0.000671,0.000914,0,24,0.5,0.002375,1
"不化De冰花",不化De冰花,,3,2,5,6,3,9,2,0.625,0.7,9,0.003399,0.017956,0.001986,0,10,0.2,0.007003,1
mooc36280703279379207,mooc36280703279379207,,0,1,1,0,2,2,3,0.428571,0.5,0,0,0.000106,0.000914,0,25,0,0,1
Blingling--Star,Blingling--Star,,0,3,3,0,17,17,2,0.8,0.875,0,0,0.036499,0.000914,0,26,0.333333,0,1
mooc33114592257061092,mooc33114592257061092,,5,3,8,10,25,35,1,1,1,3.333333,0.006231,0.053723,0.001894,0,9,0.196429,0.010937,1
"雷彩霞-李源屯镇西良村完小",雷彩霞-李源屯镇西良村完小,,0,4,4,0,26,26,1,1,1,0,0,0.053917,0.000914,0,27,0.25,0,0
"一佳紫",一佳紫,,0,3,3,0,6,6,2,0.714286,0.8,0,0,0.017634,0.000914,0,29,0.166667,0,2
"杜杜玉莹",杜杜玉莹,,1,4,5,1,25,26,2,0.833333,0.9,2,0.001689,0.054394,0.000992,0,30,0.3,0.001946,1
mochener,mochener,,0,5,5,0,26,26,2,0.857143,0.916667,0,0,0.054499,0.000914,0,32,0.3,0,1
"秦学星",秦学星,,0,3,3,0,4,4,2,0.714286,0.8,0,0,0.037109,0.000914,0,33,0.333333,0,1
"贾屯小学安静",贾屯小学安静,,0,4,4,0,29,29,2,0.833333,0.9,0,0,0.054394,0.000914,0,34,0.25,0,0
"锁心k1263571412902191319",锁心k1263571412902191319,,0,4,4,0,20,20,2,0.833333,0.9,0,0,0.054394,0.000914,0,35,0.25,0,0
"辉县市北云门第二初级中学尤海艳",辉县市北云门第二初级中学尤海艳,,1,9,10,1,101,102,3,0.681818,0.788889,5.583333,0.001724,0.055432,0.000944,0,42,0.211111,0.001946,0
mooc14777256139783528,mooc14777256139783528,,2,3,5,4,27,31,1,1,1,0,0.003379,0.053723,0.00126,0,31,0.3,0.005097,2
wanghan9215,wanghan9215,,3,6,9,3,28,31,1,1,1,13.833333,0.005072,0.05425,0.001344,0,44,0.236111,0.006265,0
"张琳琳-李源屯镇西良村完小",张琳琳-李源屯镇西良村完小,,3,4,7,4,33,37,1,1,1,3.25,0.00512,0.054005,0.001197,0,8,0.285714,0.007473,0
"黄桂红1",黄桂红1,,2,7,9,2,38,40,1,1,1,1.25,0.001724,0.054216,0.000944,0,46,0.303571,0.00475,0
"辉县二中郑丽君",辉县二中郑丽君,,3,2,5,4,24,28,1,1,1,0,0.005084,0.036305,0.00129,0,16,0.3,0.007044,1
"张国华辉县二中",张国华辉县二中,,5,2,7,9,3,12,1,1,1,2,0.006801,0.036438,0.002258,0,15,0.190476,0.012917,0
"袁建国6738",袁建国6738,,3,8,11,4,56,60,3,0.625,0.744444,27.25,0.004006,0.05481,0.001229,0,47,0.154545,0.006268,0
mono123,mono123,,0,1,1,0,1,1,2,0.6,0.666667,0,0,0.000211,0.000914,0,48,0,0,0
"王新利辉县市第二高级中学",王新利辉县市第二高级中学,,4,0,4,7,0,7,0,0,0,0,0.005015,0,0.001705,0,28,0,0.009766,0
"付梅生",付梅生,,1,4,5,1,38,39,3,0.545455,0.638889,2.333333,0.001724,0.035086,0.000944,0,49,0.2,0.001946,0
"张玉超1977",张玉超1977,,1,4,5,1,26,27,1,1,1,0.333333,0.001724,0.053879,0.000944,0,50,0.15,0.001946,0
"魏国慧",魏国慧,,0,5,5,0,25,25,2,0.857143,0.916667,0,0,0.054604,0.000914,0,51,0.3,0,1
"李志强13938712650",李志强13938712650,,5,8,13,9,34,43,2,0.833333,0.9,54,0.007326,0.054694,0.001788,0,41,0.179487,0.011712,0
"龙爱琴",龙爱琴,,2,4,6,4,33,37,2,0.833333,0.9,2,0.003429,0.054394,0.001007,0,52,0.366667,0.004281,2
"马素媛",马素媛,,0,20,20,0,50,50,4,0.606557,0.745495,0,0,0.055586,0.000914,0,77,0.134211,0,2
"笑与卿歌",笑与卿歌,,0,10,10,0,36,36,3,0.8,0.902778,0,0,0.054355,0.000914,0,81,0.2,0,2
"赵固二中丰善宏fengye",赵固二中丰善宏fengye,,2,3,5,2,28,30,1,1,1,0,0.003391,0.053723,0.001046,0,58,0.3,0.004281,2
"东昌府区韩瑞英",东昌府区韩瑞英,,2,3,5,2,29,31,1,1,1,0,0.003416,0.053723,0.001031,0,65,0.3,0.003893,0
"罗云丰",罗云丰,,6,1,7,17,2,19,1,1,1,0.333333,0.00907,0.017418,0.001861,0,7,0.166667,0.015838,0
"辉县市冀屯镇中心学校高艳梅",辉县市冀屯镇中心学校高艳梅,,1,4,5,1,28,29,1,1,1,1,0.001727,0.054005,0.000953,0,68,0.2,0.001946,0
"张敬莉",张敬莉,,0,5,5,0,7,7,4,0.45,0.564815,0,0,0.019464,0.000914,0,84,0.2,0,1
"张南夫",张南夫,,1,3,4,1,18,19,1,1,1,0,0.001689,0.053723,0.000992,0,80,0.25,0.001946,2
"新乡市十中尹磊",新乡市十中尹磊,,1,2,3,1,4,5,1,1,1,0,0.001689,0.036438,0.000992,0,79,0.333333,0.001946,1
"王天楼",王天楼,,0,4,4,0,45,45,3,0.55,0.651515,0,0,0.053951,0.000914,0,85,0.25,0,0
mooc11582427249365,mooc11582427249365,,0,3,3,0,9,9,3,0.52381,0.606061,0,0,0.036533,0.000914,0,86,0.333333,0,1
"赵金良k1254783095961525518",赵金良k1254783095961525518,,4,3,7,7,32,39,1,1,1,0,0.006773,0.053723,0.001468,0,43,0.285714,0.010195,2
"苏静12",苏静12,,1,1,2,1,1,2,1,1,1,0,0.001689,0.017285,0.000992,0,78,0.5,0.001946,2
"付雪铃",付雪铃,,0,3,3,0,28,28,1,1,1,0,0,0.053723,0.000914,0,87,0,0,0
IDStudio_黎佳,IDStudio_黎佳,,371,0,371,3830,0,3830,0,0,0,0,0.560635,0,0.113832,0,1,0.000983,0.786459,0
"苏丽阳",苏丽阳,,0,3,3,0,36,36,1,1,1,0,0,0.053723,0.000914,0,88,0,0,2
mooc1481804141718,mooc1481804141718,,0,3,3,0,44,44,1,1,1,0,0,0.053723,0.000914,0,89,0,0,0
"李德宝",李德宝,,0,3,3,0,26,26,1,1,1,0,0,0.053723,0.000914,0,90,0,0,2
unreal_shan,unreal_shan,,0,3,3,0,38,38,1,1,1,0,0,0.053723,0.000914,0,91,0,0,0
"中超传奇",中超传奇,,0,3,3,0,9,9,1,1,1,0,0,0.053723,0.000914,0,92,0,0,0
"国开-沈阳电大杨佳奇",国开-沈阳电大杨佳奇,,0,3,3,0,37,37,1,1,1,0,0,0.053723,0.000914,0,93,0,0,0
SCNU20 朱茜,SCNU20 朱茜,,0,3,3,0,43,43,1,1,1,0,0,0.053723,0.000914,0,94,0,0,0
