Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
"﻿歇会儿123",﻿歇会儿123,,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0.014134,0,3,0,0
"歇会儿123",歇会儿123,,1,1,2,1,1,2,2,0.666667,0.75,2,0,0.090465,0,0.026152,0,2,0,0.021171
mooc87598474764773022,mooc87598474764773022,,0,1,1,0,1,1,1,1,1,0,0,0,1,0.014134,1,5,0,0
George_lee,George_lee,,1,0,1,1,0,1,0,0,0,0,0,0,1,0.026152,1,4,0,0.021171
mooc18951576859509952,mooc18951576859509952,,0,2,2,0,6,6,2,0.75,0.833333,0,0,0.250244,2,0.014134,0,7,0,0
"师保国",师保国,,12,1,13,23,1,24,1,1,1,13,0.492699,0,0,0.108464,0,1,0,0.325647
"拥青小",拥青小,,0,2,2,0,6,6,2,0.75,0.833333,0,0,0.250244,2,0.014134,0,8,0,0
"汪国琴",汪国琴,,0,2,2,0,6,6,2,0.75,0.833333,0,0,0.250244,2,0.014134,0,9,0,0
"沈画",沈画,,0,2,2,0,6,6,2,0.75,0.833333,0,0,0.250244,2,0.014134,0,10,0,0
"薛邵君mooc78795408409257839",薛邵君mooc78795408409257839,,0,2,2,0,4,4,2,0.75,0.833333,0,0,0.250244,0,0.014134,0,11,0,0
"黄彦桃",黄彦桃,,0,2,2,0,3,3,2,0.75,0.833333,0,0,0.250244,0,0.014134,0,12,0,0
mooc1514446850107,mooc1514446850107,,0,1,1,0,2,2,2,0.666667,0.75,0,0,0.090465,0,0.014134,0,13,0,0
"小殷贝贝",小殷贝贝,,0,2,2,0,4,4,2,0.75,0.833333,0,0,0.250244,0,0.014134,0,14,0,0
Ever_,Ever_,,0,2,2,0,6,6,2,0.75,0.833333,0,0,0.250244,2,0.014134,0,15,0,0
"机修3183原文超",机修3183原文超,,0,2,2,0,6,6,2,0.75,0.833333,0,0,0.250244,2,0.014134,0,16,0,0
07043180303,07043180303,,0,2,2,0,6,6,2,0.75,0.833333,0,0,0.250244,2,0.014134,0,17,0,0
"助教唐圆梦",助教唐圆梦,,24,0,24,61,0,61,0,0,0,0,0.8702,0,2,0.242464,0,6,0,0.508114
"落葵mooc9",落葵mooc9,,0,1,1,0,2,2,1,1,1,0,0,0.159779,2,0.014134,0,18,0,0
"靖南尘",靖南尘,,0,1,1,0,3,3,1,1,1,0,0,0.159779,2,0.014134,0,19,0,0
"兰径香风",兰径香风,,0,1,1,0,2,2,1,1,1,0,0,0.159779,2,0.014134,0,20,0,0
k1233874223303927143,k1233874223303927143,,0,1,1,0,2,2,1,1,1,0,0,0.159779,2,0.014134,0,21,0,0
"兰美琪",兰美琪,,0,1,1,0,2,2,1,1,1,0,0,0.159779,2,0.014134,0,22,0,0
jusufsty,jusufsty,,0,1,1,0,1,1,1,1,1,0,0,0.159779,2,0.014134,0,23,0,0
"浩海游龙",浩海游龙,,0,1,1,0,2,2,1,1,1,0,0,0.159779,2,0.014134,0,24,0,0
"医检202002班罗玲",医检202002班罗玲,,0,3,3,0,5,5,1,1,1,0,0,0,4,0.014134,2,28,0,0
"良辰博",良辰博,,1,0,1,2,0,2,0,0,0,0,0,0,4,0.01814,2,27,0,0.021171
mooc54936003385916538,mooc54936003385916538,,0,1,1,0,2,2,1,1,1,0,0,0,3,0.014134,3,30,0,0
SCUT2018,SCUT2018,,1,0,1,2,0,2,0,0,0,0,0,0,3,0.026152,3,29,0,0.021171
mooc6325520445113436,mooc6325520445113436,,0,1,1,0,2,2,1,1,1,0,0,0.159779,2,0.014134,0,31,0,0
qqusermooc749,qqusermooc749,,0,1,1,0,2,2,1,1,1,0,0,0.159779,2,0.014134,0,32,0,0
"袁靖喆",袁靖喆,,0,1,1,0,2,2,1,1,1,0,0,0.159779,2,0.014134,0,33,0,0
"木易浩荡",木易浩荡,,0,1,1,0,2,2,1,1,1,0,0,0.159779,2,0.014134,0,34,0,0
"行夜人",行夜人,,0,1,1,0,2,2,1,1,1,0,0,0.159779,2,0.014134,0,35,0,0
"我是胡浩翔先生",我是胡浩翔先生,,0,1,1,0,2,2,1,1,1,0,0,0.159779,2,0.014134,0,36,0,0
Chen-Y-J,Chen-Y-J,,0,1,1,0,2,2,1,1,1,0,0,0.159779,2,0.014134,0,37,0,0
miracle.wing,miracle.wing,,1,0,1,1,0,1,0,0,0,0,0,0,4,0.01814,2,26,0,0.021171
CUG20191002503王月辉,CUG20191002503王月辉,,1,0,1,2,0,2,0,0,0,0,0,0,4,0.01814,2,25,0,0.021171
"学员a12akada46373471843756817",学员a12akada46373471843756817,,1,0,1,1,0,1,0,0,0,0,0,0,0,0.1063,0,0,0,1
